Latitude,Longitude,Town
-19.259,146.8169,Townsville
-27.47,153.026,Brisbane
-16.92,145.771,Cairns
-15.4758,145.2471,Cooktown
-21.143,149.1868,Mackay
-24.8661,152.3489,Bundaberg
