REEF_NAME,GBR_SECTOR,RV,TRIP_ID,TRIP_METADATA_LINK,DATE,SAMPLE_DATE_SEAWATER_SEDIMENTS,LATITUDE,LONGITUDE,WATER_COLLECTION_(VOL),COLLECTION_METHOD,UNDERWAY_DATA_TIME,SEAWATER_TEMPERATURE_2.5m_RV,SALINITY_2.5m_RV ,TURBIDITY_2.5m_RV ,FLUORESCENCE_2.5m_RV,OPEN_CLOSED_TO_FISHING,SAMPLE_COLLECTION_START,MEAN_CHLOROPHYLL-A_�g_L,MEAN_PHAEOPHYTIN-A_�g_L,MEAN_PN_�M,MEAN_POC_�M,MEAN_PP_�M,MEAN_DOC_�m,MEAN_PO4_�M,MEAN_NH4_�M,MEAN_NO2_�M,MEAN_NO3_�M,MEAN_Si_�M,MEAN_TDN_�M,MEAN_TDP_�M,MEAN_TSS_mg_L,illumina_seawater_zip
PEART REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,21/02/2020,21/02/2020,-17.46753,146.40219,40L,Diving,16:28:45,30.2921,34.6752,0.778376,0.3095,O,16:30:00,0.303136667,0.330403333,1.18381,10.49222333,0.051626667,64.44444333,0.01,0.903333333,0.02,0.16,1.67,5.486666667,0.136666667,0.14,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Peart.seawater.tar.gz
FEATHER REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,23/02/2020,23/02/2020,-17.57812,146.38676,40L,Diving,16:57:17,29.6508,34.6901,0.772271,0.3229,C,16:58:00,0.768303333,0.64514,1.417146667,10.63111,0.06556,70.27778,0.01,0.396666667,0.046666667,0.163333333,2.686666667,6.143333333,0.156666667,0.243333333,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Feather.seawater.tar.gz
FARQUAHARSON REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,24/02/2020,24/02/2020,-17.7896,146.53186,40L,Diving,15:50:58,29.4089,34.7126,0.772271,0.3363,O,15:54:00,0.42212,0.484063333,1.236193333,7.72,NA,62.5,0.056666667,0.86,0.08,1.083333333,2,6.716666667,0.193333333,0.09,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Farquaharson.seawater.tar.gz
TAYLOR REEF,Central,Ferguson,7320,https://apps.aims.gov.au/metadata/view/9E2FE400-5BBB-0B7C-E054-0010E056919A,25/02/2020,25/02/2020,-17.81295,146.56712,40L,Diving,15:55:35,29.6168,34.6441,0.973736,0.3229,C,15:58:00,0.369503333,0.37847,1.336193333,NA,0.061893333,75,0.023333333,NA,0.033333333,0.373333333,1.653333333,6.166666667,0.203333333,0.156666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Taylor.seawater.tar.gz
LITTLE KELSO REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,8/07/2020,8/07/2020,-18.46205,146.99845,55L,Boat,15:50:08,24.0761,35.217,5.202231,0.1653,C,15:45:00,0.126456667,0.09955,0.53619,4.953333333,0.019436667,71.88333333,0.083333333,0.11,0.01,0.143333333,2.723333333,5.133333333,0.256666667,0.186666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/LittleKelso.seawater.tar.gz
KELSO REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,9/07/2020,9/07/2020,-18.42411,146.98581,55L,Boat,8:30:58,24.0336,35.1793,5.236419,0.2056,C,8:30:00,0.104633333,0.091956667,0.431426667,3.00889,0.009963333,68.27333333,0.096666667,0.136666667,0.01,0.276666667,2.273333333,5.766666667,0.263333333,0.206666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Kelso.seawater.tar.gz
ROXBURGH REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,9/07/2020,9/07/2020,-18.43503,147.0545,55L,Boat,14:15:08,24.0523,35.2176,5.26206,0.1922,O,14:15:00,0.151566667,0.118926667,0.569523333,3.875556667,0.020536667,71.60333333,0.086666667,0.166666667,0.01,0.156666667,2.066666667,4.99,0.253333333,0.05,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Roxburgh.seawater.tar.gz
FORE AND AFT REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,10/07/2020,10/07/2020,-18.47656,147.05325,55L,Boat,8:18:37,24.2373,35.1703,5.330436,0.0579,O,8:15:00,0.127053333,0.110433333,0.702856667,5.04778,0.01214,68.55,0.083333333,0.046666667,0.01,0.126666667,1.963333333,4.226666667,0.236666667,0.136666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Fore&Aft.seawater.tar.gz
RIB REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,10/07/2020,10/07/2020,-18.4731,146.87271,55L,Boat,14:02:48,23.9676,35.2007,5.304795,0.1116,O,14:00:00,0.09656,0.06882,0.51714,3.436663333,0.016503333,72.16,0.08,0.116666667,0.01,0.14,NA,5.843333333,0.25,0.116666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Rib.seawater.tar.gz
JOHN BREWER REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,11/07/2020,11/07/2020,-18.61726,147.07521,55L,Boat,7:45:49,25.2645,35.1995,5.270607,0.031,O,7:50:00,0.064576667,0.078563333,0.36,2.708886667,0.01137,64.39,0.116666667,0.13,0.01,0.356666667,1.913333333,5.076666667,0.266666667,0.07,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/JohnBrewer.seawater.tar.gz
MYRMIDON REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,12/07/2020,12/07/2020,-18.2575,147.38445,55L,Boat,7:44:39,24.8299,35.0808,5.304795,0.0847,C,7:45:00,0.080716667,0.063856667,0.53619,3.581113333,0.00924,74.65333333,0.076666667,0.05,0.01,0.043333333,1.793333333,5.283333333,0.27,0.05,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Myrmidon.seawater.tar.gz
CHICKEN REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,13/07/2020,13/07/2020,-18.65388,147.71591,55L,Boat,7:52:38,24.7623,35.1188,5.338983,0.125,O,7:50:00,0.096563333,0.103616667,0.45524,3.847776667,0.013203333,64.11,0.126666667,0.11,0.01,0.616666667,2.663333333,5.053333333,0.273333333,0.076666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Chicken.seawater.tar.gz
FORK REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,14/07/2020,14/07/2020,-18.6065,147.5709,55L,Boat,13:44:10,24.4841,35.1422,5.458641,0.0982,C,13:40:00,0.104633333,0.087296667,0.45524,3.164443333,0.01577,70.21666667,0.093333333,0.103333333,0.01,0.163333333,1.056666667,4.68,0.256666667,0.19,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Fork.seawater.tar.gz
KNIFE REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,14/07/2020,14/07/2020,-18.57226,147.57555,55L,Boat,7:49:49,24.6537,35.1256,5.424453,0.0847,C,7:45:00,0.09626,0.11432,0.421906667,3.947776667,0.011003333,65.5,0.11,0.116666667,0.01,0.393333333,1.503333333,5.51,0.3,0.170176667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Knife.seawater.tar.gz
LYNCH REEF,Central,Solander,7430,https://apps.aims.gov.au/metadata/view/A9F63A7A-5887-7EB9-E054-022128574717,15/07/2020,15/07/2020,-18.73288,147.72155,55L,Boat,7:57:40,24.3213,35.1589,5.51847,0.0579,C,8:00:00,0.13931,0.13656,0.53143,3.17,0.025666667,61.88666667,0.1,0.116666667,0.01,0.283333333,1.356666667,4.263333333,0.256666667,0.076666667,https://data.aims.gov.au/data-download/5956fd44-f864-4811-9ec3-15499f1863c4/seawaterreads4AODN/Lynchs.seawater.tar.gz
